CompanyName, CompanyNumber,RegAddress.CareOf,RegAddress.POBox,RegAddress.AddressLine1, RegAddress.AddressLine2,RegAddress.PostTown,RegAddress.County,RegAddress.Country,RegAddress.PostCode,CompanyCategory,CompanyStatus,CountryOfOrigin,DissolutionDate,IncorporationDate,Accounts.AccountRefDay,Accounts.AccountRefMonth,Accounts.NextDueDate,Accounts.LastMadeUpDate,Accounts.AccountCategory,Returns.NextDueDate,Returns.LastMadeUpDate,Mortgages.NumMortCharges,Mortgages.NumMortOutstanding,Mortgages.NumMortPartSatisfied,Mortgages.NumMortSatisfied,SICCode.SicText_1,SICCode.SicText_2,SICCode.SicText_3,SICCode.SicText_4,LimitedPartnerships.NumGenPartners,LimitedPartnerships.NumLimPartners,URI,PreviousName_1.CONDATE, PreviousName_1.CompanyName, PreviousName_2.CONDATE, PreviousName_2.CompanyName,PreviousName_3.CONDATE, PreviousName_3.CompanyName,PreviousName_4.CONDATE, PreviousName_4.CompanyName,PreviousName_5.CONDATE, PreviousName_5.CompanyName,PreviousName_6.CONDATE, PreviousName_6.CompanyName,PreviousName_7.CONDATE, PreviousName_7.CompanyName,PreviousName_8.CONDATE, PreviousName_8.CompanyName,PreviousName_9.CONDATE, PreviousName_9.CompanyName,PreviousName_10.CONDATE, PreviousName_10.CompanyName,ConfStmtNextDueDate, ConfStmtLastMadeUpDate
"""243 RUGBY ROAD MANAGEMENT COMPANY LIMITED""",05914136,,,94 PARK LANE,,CROYDON,SURREY,ENGLAND,CR0 1JB,"PRI/LTD BY GUAR/NSC (Private, limited by guarantee, no share capital)",Active,United Kingdom,,23/08/2006,31.0,8.0,31/05/2025,31/08/2023,MICRO ENTITY,20/09/2016,23/08/2015,0,0,0,0,98000 - Residents property management,,,,0,0,http://business.data.gov.uk/id/company/05914136,,,,,,,,,,,,,,,,,,,,,06/09/2025,23/08/2024
"""309"" WEST END LANE MANAGEMENT LIMITED",02943302,,,309 WEST END LANE,,LONDON,,ENGLAND,NW6 1RD,Private Limited Company,Active,United Kingdom,,28/06/1994,24.0,12.0,24/09/2025,24/12/2023,DORMANT,26/07/2017,28/06/2016,0,0,0,0,98000 - Residents property management,,,,0,0,http://business.data.gov.uk/id/company/02943302,,,,,,,,,,,,,,,,,,,,,23/06/2025,09/06/2024
"""4RENT ESTATES"" LTD",14983527,,,WHITE HOUSE,WOLLATON STREET,NOTTINGHAM,NOTTS,UNITED KINGDOM,NG1 5GF,Private Limited Company,Active,United Kingdom,,05/07/2023,31.0,7.0,05/04/2025,,NO ACCOUNTS FILED,02/08/2024,,0,0,0,0,68100 - Buying and selling of own real estate,68209 - Other letting and operating of own or leased real estate,68320 - Management of real estate on a fee or contract basis,,0,0,http://business.data.gov.uk/id/company/14983527,,,,,,,,,,,,,,,,,,,,,18/07/2025,04/07/2024
"""786"" MAZ OFFICE SUPPORT LIMITED",10694769,,,22 BEDFORD ROAD,,ILFORD,,ENGLAND,IG1 1EJ,Private Limited Company,Active,United Kingdom,,28/03/2017,30.0,4.0,31/01/2026,30/04/2024,MICRO ENTITY,25/04/2018,,0,0,0,0,82110 - Combined office administrative service activities,,,,0,0,http://business.data.gov.uk/id/company/10694769,06/04/2017,MAZ A&T SERVICES LIMITED,,,,,,,,,,,,,,,,,,,03/04/2025,20/03/2024
"""A TASTE OF TUSCANY"" LTD",15761044,,,71-75 SHELTON STREET,COVENT GARDEN,LONDON,,UNITED KINGDOM,WC2H 9JQ,Private Limited Company,Active,United Kingdom,,04/06/2024,30.0,6.0,04/03/2026,,NO ACCOUNTS FILED,02/07/2025,,0,0,0,0,56101 - Licensed restaurants,68209 - Other letting and operating of own or leased real estate,,,0,0,http://business.data.gov.uk/id/company/15761044,,,,,,,,,,,,,,,,,,,,,17/06/2025,
"""A"" CERAMICS LIMITED",04494986,,,LAKESIDE HOUSE,SMITHS ROAD,BOLTON,,ENGLAND,BL3 2QJ,Private Limited Company,Active,United Kingdom,,25/07/2002,31.0,7.0,30/04/2026,31/07/2024,TOTAL EXEMPTION FULL,22/08/2016,25/07/2015,1,0,0,1,86230 - Dental practice activities,,,,0,0,http://business.data.gov.uk/id/company/04494986,,,,,,,,,,,,,,,,,,,,,08/08/2025,25/07/2024
"""A"" CONCEPT LIMITED",02537158,,,BEAUFORT HOUSE,5 MIDDLESEX STREET,LONDON,,,E1 7AA,Private Limited Company,Active,United Kingdom,,05/09/1990,30.0,6.0,31/03/2025,30/06/2023,TOTAL EXEMPTION FULL,03/10/2016,05/09/2015,2,0,0,2,64209 - Activities of other holding companies n.e.c.,73110 - Advertising agencies,,,0,0,http://business.data.gov.uk/id/company/02537158,,,,,,,,,,,,,,,,,,,,,19/09/2025,05/09/2024
"""A.B.J.Z DRIVER HIRE "" LTD",09151627,,,C/O HUDSON WEIR LIMITED,58 LEMAN STREET,LONDON,,,E1 8EU,Private Limited Company,Liquidation,United Kingdom,,29/07/2014,31.0,7.0,30/04/2024,31/07/2022,TOTAL EXEMPTION FULL,25/08/2016,28/07/2015,0,0,0,0,49410 - Freight transport by road,52290 - Other transportation support activities,78200 - Temporary employment agency activities,82990 - Other business support service activities n.e.c.,0,0,http://business.data.gov.uk/id/company/09151627,,,,,,,,,,,,,,,,,,,,,09/02/2025,26/01/2024
"""ALL WRAPPED UP"" EVENTS MANAGEMENT LTD",SC313991,,,"UNIT 27, FIFE FOOD & BUSINESS CENTRE",FARADAY ROAD,GLENROTHES,,SCOTLAND,KY6 2RU,Private Limited Company,Active,United Kingdom,,03/01/2007,31.0,5.0,28/02/2025,28/02/2023,MICRO ENTITY,31/01/2017,03/01/2016,0,0,0,0,82990 - Other business support service activities n.e.c.,,,,0,0,http://business.data.gov.uk/id/company/SC313991,,,,,,,,,,,,,,,,,,,,,17/01/2025,03/01/2024
"""ALTAI CASHMERE"" LLC",FC027187,,,"BUILDING LEFT TO THE ""TUUL""",DRY CLEANING,KHAN-UUL DISTRICT,"ULAANBAATAR, MONGOLIA",MONGOLIA,,Other company type,Active,MONGOLIA,,14/06/2006,30.0,6.0,,,NO ACCOUNTS FILED,,,0,0,0,0,None Supplied,,,,0,0,http://business.data.gov.uk/id/company/FC027187,,,,,,,,,,,,,,,,,,,,,26/12/2016,
"""AN IDEAL LIFE???"" CIC",12459056,,,197 CLAREMONT ROAD,,MANCHESTER,,ENGLAND,M14 4JF,Community Interest Company,Active - Proposal to Strike off,United Kingdom,,12/02/2020,29.0,2.0,28/02/2022,,NO ACCOUNTS FILED,12/03/2021,,0,0,0,0,85600 - Educational support services,,,,0,0,http://business.data.gov.uk/id/company/12459056,,,,,,,,,,,,,,,,,,,,,25/02/2023,11/02/2022
"""AND BREATHE"" LTD",09008930,,,UNIT G20 BOSTON ENTERPRISE CENTRE VENTURE HOUSE,ENTERPRISE WAY,BOSTON,,ENGLAND,PE21 7TW,Private Limited Company,Active,United Kingdom,,24/04/2014,31.0,7.0,30/04/2026,31/07/2024,MICRO ENTITY,22/05/2017,24/04/2016,0,0,0,0,86900 - Other human health activities,,,,0,0,http://business.data.gov.uk/id/company/09008930,,,,,,,,,,,,,,,,,,,,,08/05/2025,24/04/2024
"""ANDI'S GIFT""",CE012989,,,,,,,,,Charitable Incorporated Organisation,Active,United Kingdom,,22/01/2018,,,,,NO ACCOUNTS FILED,,,0,0,0,0,None Supplied,,,,0,0,http://business.data.gov.uk/id/company/CE012989,,,,,,,,,,,,,,,,,,,,,,
"""ARTHUR BALFOUR"",CONSERVATIVE WORKING MEN'S CLUB LIMITED",IP10067R,,,,,,,,,Registered Society,Active,United Kingdom,,01/01/1981,,,,,NO ACCOUNTS FILED,,,0,0,0,0,None Supplied,,,,0,0,http://business.data.gov.uk/id/company/IP10067R,,,,,,,,,,,,,,,,,,,,,15/01/2017,
"""AUTOCONTEX"" AUTOMOBIL CONTAINER EXPRESS GMBH",FC018262,,,BRANCH REGISTRATION,REFER TO PARENT REGISTRY,,,GERMANY,,Other company type,Active,WEST GERMANY,,01/11/1994,30.0,11.0,,31/12/2002,FULL,,,2,2,0,0,None Supplied,,,,0,0,http://business.data.gov.uk/id/company/FC018262,,,,,,,,,,,,,,,,,,,,,01/12/2016,
"""B""",CE033707,,,,,,,,,Charitable Incorporated Organisation,Active,United Kingdom,,26/09/2023,,,,,NO ACCOUNTS FILED,,,0,0,0,0,None Supplied,,,,0,0,http://business.data.gov.uk/id/company/CE033707,,,,,,,,,,,,,,,,,,,,,,
"""B"" COOL LIMITED",05318740,,,C/O CHARNWOOD ACCOUNTANTS THE POINT GRANITE WAY,MOUNTSORREL,LOUGHBOROUGH,LEICESTERSHIRE,,LE12 7TZ,Private Limited Company,Active,United Kingdom,,21/12/2004,31.0,12.0,30/09/2025,31/12/2023,TOTAL EXEMPTION FULL,18/01/2017,21/12/2015,0,0,0,0,"43220 - Plumbing, heat and air-conditioning installation",,,,0,0,http://business.data.gov.uk/id/company/05318740,,,,,,,,,,,,,,,,,,,,,04/01/2026,21/12/2024
"""BACHELORS"" LIMITED(THE)",00807672,,,47A HIGH STREET,BANSTEAD,SURREY,,,SM7 2NL,Private Limited Company,Liquidation,United Kingdom,,03/06/1964,30.0,6.0,30/04/2003,,NO ACCOUNTS FILED,,,1,1,0,0,None Supplied,,,,0,0,http://business.data.gov.uk/id/company/00807672,,,,,,,,,,,,,,,,,,,,,17/06/2017,
"""BAMEX"" ZAKLAD PRODUKCYJNO-HANDLOWY",FC015324,,,MR.E.SZELICZYK,67 OXLEAY ROAD,RAYNERS LANE,HARROW MIDDX.HA2 9UZ,POLAND,,Other company type,Active,POLAND,,11/12/1989,31.0,3.0,,,NO ACCOUNTS FILED,,,0,0,0,0,None Supplied,,,,0,0,http://business.data.gov.uk/id/company/FC015324,,,,,,,,,,,,,,,,,,,,,25/12/2016,
"""BE"" NEWHALL MANAGEMENT COMPANY LIMITED",07326397,,,VANTAGE POINT,23 MARK ROAD,HEMEL HEMPSTEAD,HERTFORDSHIRE,,HP2 7DN,"PRI/LTD BY GUAR/NSC (Private, limited by guarantee, no share capital)",Active,United Kingdom,,27/07/2010,31.0,7.0,30/04/2025,31/07/2023,DORMANT,24/08/2016,27/07/2015,0,0,0,0,98000 - Residents property management,,,,0,0,http://business.data.gov.uk/id/company/07326397,,,,,,,,,,,,,,,,,,,,,10/08/2025,27/07/2024
"""BEDE INVESTMENT PROPERTIES LIMITED""",02871100,,,43A UXBRIDGE ROAD,LONDON,,,,W12 8LA,Private Limited Company,Active,United Kingdom,,12/11/1993,31.0,12.0,30/09/2025,31/12/2023,MICRO ENTITY,28/11/2016,31/10/2015,5,5,0,0,68100 - Buying and selling of own real estate,68209 - Other letting and operating of own or leased real estate,,,0,0,http://business.data.gov.uk/id/company/02871100,,,,,,,,,,,,,,,,,,,,,14/11/2025,31/10/2024
"""BEECHBANK COURT"" MANAGEMENT COMPANY LIMITED",01382560,,,33 BEECHBANK,NORWICH,NORFOLK,,,NR2 2AL,Private Limited Company,Active,United Kingdom,,07/08/1978,31.0,5.0,28/02/2026,31/05/2024,MICRO ENTITY,23/05/2017,25/04/2016,0,0,0,0,68320 - Management of real estate on a fee or contract basis,74990 - Non-trading company,,,0,0,http://business.data.gov.uk/id/company/01382560,,,,,,,,,,,,,,,,,,,,,09/05/2025,25/04/2024
"""BELLE-VUE"" ENTERPRISES LIMITED",04427981,,,2 THE CRESCENT,,WISBECH,CAMBRIDGESHIRE,UNITED KINGDOM,PE13 1EH,Private Limited Company,Active,United Kingdom,,30/04/2002,31.0,5.0,28/02/2025,31/05/2023,MICRO ENTITY,25/05/2017,27/04/2016,0,0,0,0,56101 - Licensed restaurants,,,,0,0,http://business.data.gov.uk/id/company/04427981,,,,,,,,,,,,,,,,,,,,,11/05/2025,27/04/2024
"""BEON"" SUPPORT LTD",14502415,,,1 DEBEN ROAD,,CORBY,,ENGLAND,NN17 2JY,Private Limited Company,Active,United Kingdom,,23/11/2022,4.0,4.0,04/01/2026,04/04/2024,MICRO ENTITY,21/12/2023,,0,0,0,0,41100 - Development of building projects,69109 - Activities of patent and copyright agents; other legal activities n.e.c.,84300 - Compulsory social security activities,88990 - Other social work activities without accommodation n.e.c.,0,0,http://business.data.gov.uk/id/company/14502415,,,,,,,,,,,,,,,,,,,,,08/08/2025,25/07/2024
"""BETTER CALL CECIL"" LTD",13105018,,,33 HIGHBURY ROAD,BREAM,LYDNEY,,ENGLAND,GL15 6EF,Private Limited Company,Active,United Kingdom,,30/12/2020,31.0,12.0,30/09/2025,31/12/2023,TOTAL EXEMPTION FULL,27/01/2022,,0,0,0,0,69109 - Activities of patent and copyright agents; other legal activities n.e.c.,,,,0,0,http://business.data.gov.uk/id/company/13105018,,,,,,,,,,,,,,,,,,,,,29/01/2025,15/01/2024
"""BIGMAC LTD"" LIMITED",14413667,,,3 STANEFORD CLOSE,KETLEY,TELFORD,,ENGLAND,TF1 5GS,Private Limited Company,Active,United Kingdom,,12/10/2022,11.0,10.0,12/07/2024,,NO ACCOUNTS FILED,09/11/2023,,0,0,0,0,49410 - Freight transport by road,,,,0,0,http://business.data.gov.uk/id/company/14413667,,,,,,,,,,,,,,,,,,,,,25/10/2025,11/10/2024
"""BOCI"" DEEP CLEAN LTD",15727849,,,23A GRANGE PARK,,LONDON,,UNITED KINGDOM,W5 3PS,Private Limited Company,Active,United Kingdom,,18/05/2024,31.0,5.0,18/02/2026,,NO ACCOUNTS FILED,15/06/2025,,0,0,0,0,81210 - General cleaning of buildings,81222 - Specialised cleaning services,,,0,0,http://business.data.gov.uk/id/company/15727849,,,,,,,,,,,,,,,,,,,,,31/05/2025,
"""BUDMEL"" COMPANY LTD",FC025469,,,BRANCH REGISTRATION,REFER TO PARENT REGISTRY,,,POLAND,,Other company type,Active,POLAND,,21/09/2004,30.0,9.0,,,NO ACCOUNTS FILED,,,0,0,0,0,None Supplied,,,,0,0,http://business.data.gov.uk/id/company/FC025469,,,,,,,,,,,,,,,,,,,,,05/10/2016,
"""CANNON CHAMBERS"" 17 CANNON PLACE MANAGEMENT LIMITED",02076454,,,17 CANNON PLACE,HAMPSTEAD,LONDON,,,NW3 1EH,Private Limited Company,Active,United Kingdom,,21/11/1986,31.0,3.0,31/12/2024,31/03/2023,DORMANT,24/04/2017,27/03/2016,0,0,0,0,74990 - Non-trading company,98000 - Residents property management,,,0,0,http://business.data.gov.uk/id/company/02076454,,,,,,,,,,,,,,,,,,,,,10/04/2025,27/03/2024
"""CARTREF NI"" LIMITED",02591631,,,GOLEUFAN,27 CHESTER STREET,ST ASAPH,DENBIGHSHIRE,WALES,LL17 0RE,"PRI/LTD BY GUAR/NSC (Private, limited by guarantee, no share capital)",Active,United Kingdom,,14/03/1991,23.0,3.0,23/12/2025,23/03/2024,TOTAL EXEMPTION FULL,11/04/2017,14/03/2016,2,0,0,2,88100 - Social work activities without accommodation for the elderly and disabled,,,,0,0,http://business.data.gov.uk/id/company/02591631,,,,,,,,,,,,,,,,,,,,,28/03/2025,14/03/2024
"""CHANNING HOUSE""INCORPORATED HIGHGATE",00063121,,,CHANNING SCHOOL,HIGHGATE HILL,HIGHGATE,LONDON,,N6 5HF,"PRI/LTD BY GUAR/NSC (Private, limited by guarantee, no share capital)",Active,United Kingdom,,27/07/1899,31.0,8.0,31/05/2025,31/08/2023,FULL,28/09/2016,31/08/2015,5,5,0,0,85200 - Primary education,85310 - General secondary education,,,0,0,http://business.data.gov.uk/id/company/00063121,,,,,,,,,,,,,,,,,,,,,14/09/2025,31/08/2024
"""CLAREJON"" JEWELLERY & ACCESSORIES L.P.",LP018170,,,4 BADGERS CROFT VICTORIA ROAD,MORTIMER COMMON,READING,BERKSHIRE,,RG7 3SW,Limited Partnership,Active,United Kingdom,,29/06/2017,,,,,NO ACCOUNTS FILED,,,0,0,0,0,None Supplied,,,,1,1,http://business.data.gov.uk/id/company/LP018170,,,,,,,,,,,,,,,,,,,,,,
